Crash_ID,State,Crash_Type,Road_User,Year,Age,Gender
20213139,Qld,Single,Driver,2021,21,Male
20213108,Qld,Single,Driver,2021,57,Female
20213051,Qld,Multiple,Motorcycle rider,2021,30,Male
20213133,Qld,Multiple,Driver,2021,86,Male
20213045,Qld,Multiple,Driver,2021,61,Female
20213089,Qld,Multiple,Driver,2021,43,Female
20213031,Qld,Multiple,Motorcycle rider,2021,40,Male
20213150,Qld,Single,Motorcycle rider,2021,25,Male
20213012,Qld,Multiple,Motorcycle rider,2021,26,Male
20213174,Qld,Multiple,Driver,2021,18,Male
20213084,Qld,Single,Driver,2021,13,Male
20213072,Qld,Multiple,Driver,2021,51,Male
20213181,Qld,Multiple,Driver,2021,48,Male
20213075,Qld,Multiple,Driver,2021,26,Female
20213068,Qld,Multiple,Motorcycle rider,2021,27,Male
20213022,Qld,Multiple,Driver,2021,27,Male
20213035,Qld,Multiple,Driver,2021,67,Male
20213165,Qld,Single,Motorcycle rider,2021,39,Male
20213180,Qld,Multiple,Pedal cyclist,2021,78,Male
20213015,Qld,Single,Driver,2021,36,Male
20213164,Qld,Multiple,Motorcycle rider,2021,48,Male
20213014,Qld,Multiple,Pedal cyclist,2021,20,Male
20213107,Qld,Multiple,Driver,2021,28,Male
20213011,Qld,Single,Motorcycle rider,2021,66,Male
20213002,Qld,Single,Driver,2021,69,Male
20213090,Qld,Multiple,Driver,2021,71,Male
20213136,Qld,Multiple,Driver,2021,90,Female
20213061,Qld,Multiple,Motorcycle rider,2021,31,Male
20213166,Qld,Single,Motorcycle rider,2021,62,Male
20213046,Qld,Single,Driver,2021,52,Male
20213047,Qld,Single,Driver,2021,55,Male
20213158,Qld,Multiple,Pedal cyclist,2021,31,Male
20213172,Qld,Single,Motorcycle rider,2021,28,Male
20213093,Qld,Single,Driver,2021,21,Male
20213005,Qld,Multiple,Motorcycle rider,2021,28,Male
20213004,Qld,Single,Driver,2021,18,Male
20213063,Qld,Multiple,Driver,2021,77,Female
20213156,Qld,Single,Driver,2021,35,Male
20213143,Qld,Multiple,Driver,2021,36,Male
20213052,Qld,Multiple,Motorcycle rider,2021,38,Male
20213079,Qld,Single,Driver,2021,38,Female
20214003,SA,Multiple,Driver,2021,50,Male
20214030,SA,Single,Driver,2021,51,Male
20214029,SA,Multiple,Motorcycle rider,2021,19,Male
20214010,SA,Multiple,Motorcycle rider,2021,17,Male
20214004,SA,Multiple,Pedal cyclist,2021,69,Male
20214047,SA,Multiple,Driver,2021,51,Male
20214062,SA,Single,Driver,2021,52,Male
20214063,SA,Single,Driver,2021,24,Male
20214050,SA,Multiple,Motorcycle rider,2021,53,Male
20217024,NT,Single,Driver,2021,35,Female
20217014,NT,Single,Driver,2021,30,Male
20217005,NT,Single,Driver,2021,60,Male
20217006,NT,Single,Driver,2021,16,Male
20217001,NT,Multiple,Driver,2021,29,Male
20217012,NT,Multiple,Driver,2021,58,Female
20217016,NT,Single,Driver,2021,30,Male
20217018,NT,Single,Driver,2021,44,Female
20216023,Tas,Single,Driver,2021,58,Male
20216010,Tas,Single,Driver,2021,66,Male
20216026,Tas,Single,Driver,2021,24,Male
20216014,Tas,Single,Motorcycle rider,2021,29,Male
20216002,Tas,Multiple,Motorcycle rider,2021,17,Male
20216022,Tas,Multiple,Motorcycle rider,2021,62,Male
20216006,Tas,Multiple,Motorcycle rider,2021,62,Male
20216012,Tas,Single,Driver,2021,39,Male
20216008,Tas,Single,Driver,2021,65,Male
20216007,Tas,Single,Driver,2021,23,Male
20218005,ACT,Single,Driver,2021,19,Male
20213173,Qld,Single,Driver,2021,35,Male
20213182,Qld,Multiple,Motorcycle rider,2021,53,Male
20213087,Qld,Multiple,Driver,2021,50,Male
20213067,Qld,Multiple,Motorcycle rider,2021,55,Male
20213030,Qld,Multiple,Driver,2021,29,Male
20213060,Qld,Single,Driver,2021,63,Male
20213177,Qld,Multiple,Driver,2021,53,Female
20213056,Qld,Multiple,Motorcycle rider,2021,61,Male
20213116,Qld,Single,Driver,2021,50,Female
20213094,Qld,Multiple,Driver,2021,28,Male
20213042,Qld,Single,Motorcycle rider,2021,65,Male
20213081,Qld,Multiple,Motorcycle rider,2021,67,Male
20213083,Qld,Multiple,Driver,2021,20,Male
20213102,Qld,Single,Driver,2021,38,Male
20213077,Qld,Multiple,Driver,2021,40,Female
20213055,Qld,Multiple,Driver,2021,66,Male
20213159,Qld,Multiple,Driver,2021,51,Female
20213113,Qld,Multiple,Motorcycle rider,2021,18,Male
20213152,Qld,Multiple,Driver,2021,20,Male
20213025,Qld,Multiple,Driver,2021,80,Male
20213106,Qld,Multiple,Motorcycle rider,2021,29,Male
20213044,Qld,Multiple,Motorcycle rider,2021,22,Female
20213114,Qld,Multiple,Driver,2021,17,Male
20213155,Qld,Single,Driver,2021,42,Female
20213036,Qld,Multiple,Pedal cyclist,2021,19,Male
20213073,Qld,Single,Motorcycle rider,2021,47,Male
20213105,Qld,Multiple,Driver,2021,35,Female
20213062,Qld,Single,Motorcycle rider,2021,19,Male
20213050,Qld,Multiple,Driver,2021,49,Female
20213119,Qld,Single,Driver,2021,63,Male
20213065,Qld,Multiple,Motorcycle rider,2021,59,Male
20213032,Qld,Multiple,Motorcycle rider,2021,40,Male
20213134,Qld,Single,Motorcycle rider,2021,26,Male
20213137,Qld,Single,Driver,2021,50,Male
20213027,Qld,Multiple,Motorcycle rider,2021,70,Male
20213008,Qld,Multiple,Motorcycle rider,2021,73,Male
20213167,Qld,Multiple,Driver,2021,35,Male
20213091,Qld,Single,Motorcycle rider,2021,26,Male
20213176,Qld,Single,Motorcycle rider,2021,24,Male
20213038,Qld,Single,Driver,2021,24,Male
20213144,Qld,Multiple,Motorcycle rider,2021,30,Male
20213024,Qld,Single,Driver,2021,32,Female
20213064,Qld,Single,Driver,2021,75,Male
20213021,Qld,Single,Driver,2021,34,Male
20213141,Qld,Single,Driver,2021,32,Male
20213104,Qld,Multiple,Motorcycle rider,2021,35,Male
20213179,Qld,Single,Driver,2021,24,Male
20213148,Qld,Multiple,Motorcycle rider,2021,29,Male
20213154,Qld,Multiple,Driver,2021,26,Male
20213103,Qld,Multiple,Motorcycle rider,2021,33,Male
20213186,Qld,Single,Driver,2021,51,Male
20213109,Qld,Single,Driver,2021,46,Male
20213041,Qld,Single,Driver,2021,37,Male
20213013,Qld,Single,Motorcycle rider,2021,42,Male
20213054,Qld,Single,Motorcycle rider,2021,47,Male
