,State,National LGA Name 2017,Crash ID,lat,lng
380,WA,Bayswater (C),11,-31.9155265,115.9205932
381,WA,Belmont (C),6,-31.9497631,115.9297417
382,WA,Beverley (S),4,-32.1080252,116.9272631
383,WA,Boddington (S),5,-32.8055466,116.4724334
384,WA,Boyup Brook (S),1,-33.8328987,116.3883839
385,WA,Bridgetown-Greenbushes (S),4,-33.9819324,116.1832068
386,WA,Brookton (S),9,-32.3660875,117.0089202
387,WA,Broome (S),8,-17.96182,122.236998
388,WA,Broomehill-Tambellup (S),8,-33.9279465,117.6434844
389,WA,Bruce Rock (S),6,-32.0012997,118.176691
390,WA,Bunbury (C),6,-33.325636,115.6396494
391,WA,Busselton (C),17,-33.6516465,115.3473335
392,WA,Cambridge (T),6,-31.9341754,115.7871034
393,WA,Canning (C),12,-32.0396243,115.91132
394,WA,Capel (S),11,-33.5518968,115.5534672
395,WA,Carnamah (S),3,-29.6909514,115.8866912
396,WA,Carnarvon,1,-24.8838363,113.6570584
397,WA,Carnarvon (S),5,-24.8838363,113.6570584
398,WA,Chapman Valley (S),2,-28.3848477,114.9991464
399,WA,Chittering (S),8,-31.5030264,116.0402774
400,WA,Claremont (T),2,-31.9807386,115.7821812
401,WA,Cockburn (C),25,-32.1213518,115.8484413
402,WA,Collie (S),12,-33.3610325,116.1561697
403,WA,Coolgardie (S),7,-30.954644,121.1659282
404,WA,Corrigin (S),4,-32.453245,117.8804676
405,WA,Cottesloe (T),1,-31.98966699999999,115.7597955
406,WA,Cranbrook (S),1,-34.2971408,117.5515503
407,WA,Cuballing (S),1,-32.8184848,117.1800354
408,WA,Cue (S),2,-27.4245191,117.8969772
409,WA,Cunderdin (S),2,-31.6274639,117.2328498
410,WA,Dalwallinu (S),4,-30.27459109999999,116.6626454
411,WA,Dandaragan (S),8,-30.5103718,115.7600856
412,WA,Dardanup (S),14,-33.4035281,115.7254169
413,WA,Denmark (S),5,-34.9611404,117.3530319
414,WA,Derby - West Ki,1,-16.8419306,125.2148469
415,WA,Derby-West Kimberley (S),13,-16.8419306,125.2148469
416,WA,Donnybrook-Balingup (S),9,-33.6608927,115.9467997
417,WA,Dumbleyung (S),2,-33.3145389,117.7397883
418,WA,Dundas (S),9,-32.3908321,121.7592721
419,WA,East Pilbara,1,-22.434355,123.7964613
420,WA,East Pilbara (S),9,-22.434355,123.7964613
421,WA,Esperance,1,-33.8613953,121.8912724
422,WA,Esperance (S),7,-33.8613953,121.8912724
423,WA,Exmouth (S),2,-21.9323088,114.1278654
424,WA,Fremantle (C),9,-32.0517901,115.755096
425,WA,Gingin (S),15,-31.349615,115.9067552
426,WA,Gnowangerup (S),6,-33.9373036,118.0078543
427,WA,Goomalling (S),1,-31.2966169,116.8305174
428,WA,Gosnells (C),18,-32.0824185,115.990413
